FORMCOUNT,DISTRICT,DSTR_NAME,DSTR_ADD1,DSTR_ADD2,DSTR_ORDER,DSTR_STNOS,BLDG_DESC,BLDG_NAME,BLDG_ADD1,BLDG_ADD2,BLDG_ADD3,BLDG_ADD4,BLDG_ADD5,BLDG_PCODE,STN1_FULLSTATNO,STN1_START,STN1_FINISH,STN2_FULLSTATNO,STN2_START,STN2_FINISH,STN3_FULLSTATNO,STN3_START,STN3_FINISH,STN4_FULLSTATNO,STN4_START,STN4_FINISH,STN5_FULLSTATNO,STN5_START,STN5_FINISH,STN6_FULLSTATNO,STN6_START,STN6_FINISH,EURO_NAME,EURO_NAME2,WARD_NAME,WARD_NAME2,PARL_NAME,PARL_NAME2,DIV_NAME,DIV_NAME2,PRSH_NAME,PRSH_NAME2,NEW_EURO_NAME,NEW_EURO_NAME2,NEW_WARD_NAME,NEW_WARD_NAME2,NEW_PARL_NAME,NEW_PARL_NAME2,NEW_DIV_NAME,NEW_DIV_NAME2,NEW_PRSH_NAME,NEW_PRSH_NAME2,PUBLISHED,QUALIFICATION,REGISTYEAR,LASTYEAR,NEXTYEAR,OVERSEAS_PUBLISH,SYSTEM_NAME1,SYSTEM_NAME2,SYSTEM_CENAME,SYSTEM_CETITLE,SYSTEM_NAME,SYSTEM_TITLE,SYSTEM_PHONE,SYSTEM_ADD1,SYSTEM_ADD2,SYSTEM_ADD3,SYSTEM_ADD4,SYSTEM_ADD5,SYSTEM_ADD6,SYSTEM_ADD7,SYSTEM_PCODE,DUMMY_FIELD
000036,LLD,"Ringmer","","",36,2,"Ringmer Village Halls","Ringmer Village Halls","Lewes Road","Ringmer","","Lewes","East Sussex",Bn8 5qh,32,1,1827,33,1828,3676,,0,0,,0,0,,0,0,,0,0,"South East","","Ouse Valley And Ringmer","","Lewes","","Ringmer And Lewes Bridge","","Ringmer Parish Council","","South East","","Ouse Valley And Ringmer","","Lewes","","Ringmer And Lewes Bridge","","Ringmer Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000037,LLE,"South Heighton","","",37,1,"Denton House Community Hall","Denton House Community Hall","Forward Close","South Heighton","","Newhaven","East Sussex",Bn9 0jy,34,1,775,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Ouse Valley And Ringmer","","Lewes","","Ouse Valley East","","South Heighton Parish Council","","South East","","Ouse Valley And Ringmer","","Lewes","","Ouse Valley East","","South Heighton Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000038,LLF,"Tarring Neville","","",38,1,"Denton House Community Hall","Denton House Community Hall","Forward Close","South Heighton","","Newhaven","East Sussex",Bn9 0jy,34,1,17,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Ouse Valley And Ringmer","","Lewes","","Ouse Valley East","","Tarring Neville Parish Meeting","","South East","","Ouse Valley And Ringmer","","Lewes","","Ouse Valley East","","Tarring Neville Parish Meeting","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000039,LMA,"Peacehaven East (part)","","",39,1,"Sports Pavilion","Sports Pavilion","Piddinghoe Avenue","","Peacehaven","","East Sussex",Bn10 8rh,42,1,1607,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Peacehaven East","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Peacehaven Town Council - Peacehaven East Ward","","South East","","Peacehaven East","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Peacehaven Town Council - Peacehaven East Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000040,LMB,"Peacehaven East (part)","","",40,1,"Evangelical Free Church Hall","Evangelical Free Church Hall","Mayfield Avenue","","Peacehaven","","East Sussex",Bn10 8re,43,1,1648,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Peacehaven East","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Peacehaven Town Council - Peacehaven East Ward","","South East","","Peacehaven East","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Peacehaven Town Council - Peacehaven East Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000041,LMC,"Peacehaven East (part)","","",41,1,"Scout Headquarters","Scout Headquarters","Arundel Road","","Peacehaven","","East Sussex",Bn10 8te,44,1,698,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Peacehaven East","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Peacehaven Town Council - Peacehaven East Ward","","South East","","Peacehaven East","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Peacehaven Town Council - Peacehaven East Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000042,LNA,"Peacehaven North (part)","","",42,1,"Meridian County Primary School","Meridian County Primary School","Roderick Avenue North","","Peacehaven","","East Sussex",Bn10 8bz,45,1,1951,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Peacehaven North","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Peacehaven Town Council - Peacehaven North Ward","","South East","","Peacehaven North","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Peacehaven Town Council - Peacehaven North Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000043,LNB,"Peacehaven North (part)","","",43,1,"The Annexe Room - Meridian C P School","The Annexe Room - Meridian C P School","Roderick Avenue","","Peacehaven","","East Sussex",Bn10 8bz,46,1,1293,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Peacehaven North","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Peacehaven Town Council - Peacehaven North Ward","","South East","","Peacehaven North","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Peacehaven Town Council - Peacehaven North Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000044,LOA,"Peacehaven West (part)","","",44,1,"Meridian Centre ","Meridian Centre ","Greenwich Way","","Peacehaven","","East Sussex",Bn10 8bb,47,1,899,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Peacehaven West","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Peacehaven Town Council - Peacehaven West Ward","","South East","","Peacehaven West","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Peacehaven Town Council - Peacehaven West Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000045,LOB,"Peacehaven West (part)","","",45,2,"Peacehaven Heights Infant School","Peacehaven Heights Infant School","Hoddern Avenue","","Peacehaven","","East Sussex",Bn10 7qy,48,1,2177,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Peacehaven West","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Peacehaven Town Council - Peacehaven West Ward","","South East","","Peacehaven West","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Peacehaven Town Council - Peacehaven West Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000046,LOC,"Peacehaven West (part)","","",46,1,"Meridian Centre ","Meridian Centre ","Greenwich Way","","Peacehaven","","East Sussex",Bn10 8bb,47,1,289,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Peacehaven West","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Peacehaven Town Council - Peacehaven West Ward","","South East","","Peacehaven West","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Peacehaven Town Council - Peacehaven West Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000047,LPA,"Plumpton","","",47,1,"Plumpton Village Hall","Plumpton Village Hall","1 West Gate","Plumpton Green","","Lewes","East Sussex",Bn7 3bq,35,1,1216,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Plumpton, Streat, East Chiltington And St John (without)","","Lewes","","Chailey","","Plumpton Parish Council","","South East","","Plumpton, Streat, East Chiltington And St John (without)","","Lewes","","Chailey","","Plumpton Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000048,LPB,"Streat","","",48,1,"Westmeston Parish Hall","Westmeston Parish Hall","Lewes Road","Westmeston","","Hassocks","West Sussex",Bn6 8rl,36,1,138,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Plumpton, Streat, East Chiltington And St John (without)","","Lewes","","Chailey","","Streat Parish Meeting","","South East","","Plumpton, Streat, East Chiltington And St John (without)","","Lewes","","Chailey","","Streat Parish Meeting","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000049,LPC,"East Chiltington","","",49,1,"Plumpton Village Hall","Plumpton Village Hall","1 West Gate","Plumpton Green","","Lewes","East Sussex",Bn7 3bq,35,1,328,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Plumpton, Streat, East Chiltington And St John (without)","","Lewes","","Chailey","","East Chiltington Parish Council","","South East","","Plumpton, Streat, East Chiltington And St John (without)","","Lewes","","Chailey","","East Chiltington Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000050,LPD,"St John (without)","","",50,1,"Beechwood Hall","Beechwood Hall","Beechwood Lane","Cooksbridge","Lewes","","East Sussex",Bn7 3qg,37,1,54,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Plumpton, Streat, East Chiltington And St John (without)","","Lewes","","Chailey","","St John Without Parish Meeting","","South East","","Plumpton, Streat, East Chiltington And St John (without)","","Lewes","","Chailey","","St John Without Parish Meeting","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000051,LQA,"Seaford Central (part)","","",51,2,"The Clinton Centre","The Clinton Centre","Clinton Place","","Seaford","","East Sussex",Bn25 1np,38,1,1230,49,1231,2420,,0,0,,0,0,,0,0,,0,0,"South East","","Seaford Central","","Lewes","","Seaford Blatchington","","Seaford Town Council - Seaford Central Ward","","South East","","Seaford Central","","Lewes","","Seaford Blatchington","","Seaford Town Council - Seaford Central Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000052,LQB,"Seaford Central (part)","","",52,1,"Claremont Hall","Claremont Hall","Brooklyn Road","","Seaford","","East Sussex",Bn25 2dx,50,1,1323,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Seaford Central","","Lewes","","Seaford Blatchington","","Seaford Town Council - Seaford Central Ward","","South East","","Seaford Central","","Lewes","","Seaford Blatchington","","Seaford Town Council - Seaford Central Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000053,LRA,"Seaford East (part)","","",53,1,"St Lukes Church Hall","St Lukes Church Hall","Walmer Road","","Seaford","","East Sussex",Bn25 3th,51,1,1351,52,1352,2761,,0,0,,0,0,,0,0,,0,0,"South East","","Seaford East","","Lewes","","Seaford Sutton","","Seaford Town Council - Seaford East Ward","","South East","","Seaford East","","Lewes","","Seaford Sutton","","Seaford Town Council - Seaford East Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000054,LRB,"Seaford East (part)","","",54,1,"Seaford Head School ","Seaford Head School","Sutton Avenue Entrance","","Seaford","","East Sussex",Bn25 4lh,53,1,1161,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Seaford East","","Lewes","","Seaford Sutton","","Seaford Town Council - Seaford East Ward","","South East","","Seaford East","","Lewes","","Seaford Sutton","","Seaford Town Council - Seaford East Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000055,LSA,"Seaford North (part)","","",55,1,"Downs Leisure Centre - Sutton Hall","Downs Leisure Centre - Sutton Hall","Sutton Road","","Seaford","","East Sussex",Bn25 4qw,54,1,1193,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Seaford North","","Lewes","","Seaford Blatchington","","Seaford Town Council - Seaford North Ward","","South East","","Seaford North","","Lewes","","Seaford Blatchington","","Seaford Town Council - Seaford North Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000056,LSB,"Seaford North (part)","","",56,1,"Cradle Hill County Primary School","Cradle Hill County Primary School","Lexden Road","","Seaford","","East Sussex",Bn25 3ba,55,1,1440,56,1441,2863,,0,0,,0,0,,0,0,,0,0,"South East","","Seaford North","","Lewes","","Seaford Blatchington","","Seaford Town Council - Seaford North Ward","","South East","","Seaford North","","Lewes","","Seaford Blatchington","","Seaford Town Council - Seaford North Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000057,LTA,"Seaford South (part)","","",57,2,"Seaford Head School ","Seaford Head School","Sutton Avenue Entrance","","Seaford","","East Sussex",Bn25 4lh,57,1,1593,58,1594,3217,,0,0,,0,0,,0,0,,0,0,"South East","","Seaford South","","Lewes","","Seaford Sutton","","Seaford Town Council - Seaford South Ward","","South East","","Seaford South","","Lewes","","Seaford Sutton","","Seaford Town Council - Seaford South Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000058,LTB,"Seaford South (part)","","",58,1,"Downs Leisure Centre - Sutton Hall","Downs Leisure Centre - Sutton Hall","Sutton Road","","Seaford","","East Sussex",Bn25 4qw,59,1,375,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Seaford South","","Lewes","","Seaford Sutton","","Seaford Town Council - Seaford South Ward","","South East","","Seaford South","","Lewes","","Seaford Sutton","","Seaford Town Council - Seaford South Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000059,LUA,"Seaford West","","",59,3,"Seaford Baptist Church Hall","Seaford Baptist Church Hall","Belgrave Road","","Seaford","","East Sussex",Bn25 2ee,60,1,2005,61,2006,3908,,0,0,,0,0,,0,0,,0,0,"South East","","Seaford West","","Lewes","","Ouse Valley East","","Seaford Town Council - Seaford West Ward","","South East","","Seaford West","","Lewes","","Ouse Valley East","","Seaford Town Council - Seaford West Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000060,LXA,"","","",60,1,"Alciston And Selmeston Village Hall","Alciston And Selmeston Village Hall","Selmeston","Polegate","","","",,62,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,"","","Alfriston","","Lewes","","","","Alciston","","","","Alfriston","","Lewes","","","","Alciston","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000061,LXF,"","","",61,1,"Alciston And Selmeston Village Hall","Alciston And Selmeston Village Hall","Selmeston","Polegate","","","",,62,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,"","","Alfriston","","Lewes","","","","Selmeston","","","","Alfriston","","Lewes","","","","Selmeston","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000062,LXB,"","","",62,1,"Alfriston War Memorial Hall","Alfriston War Memorial Hall","The Tye","Alfriston","","","",,63,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,"","","Alfriston","","Lewes","","","","Alfriston","","","","Alfriston","","Lewes","","","","Alfriston","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000063,LXC,"","","",63,1,"Berwick Village Hall","Berwick Village Hall","Berwick","Polegate","","","",,64,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,"","","Alfriston","","Lewes","","","","Berwick","","","","Alfriston","","Lewes","","","","Berwick","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000064,LXD,"","","",64,1,"Hayton Baker Hall","Hayton Baker Hall","Ripe","","","","",,65,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,"","","Alfriston","","Lewes","","","","Chalvington With Ripe","","","","Alfriston","","Lewes","","","","Chalvington With Ripe","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000065,LXE,"","","",65,1,"Deanland Wood Social Centre","Deanland Wood Social Centre","Deanland Wood Park","Deanland Road","Golden Cross","","",,66,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,"","","Alfriston","","Lewes","","","","Chalvington With Ripe","","","","Alfriston","","Lewes","","","","Chalvington With Ripe","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000066,LYA,"","","",66,1,"East Dean Village Hall","East Dean Village Hall","Village Green Lane","East Dean","","","",,67,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,"","","East Dean","","Lewes","","","","East Dean And Friston","","","","East Dean","","Lewes","","","","East Dean And Friston","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000067,LYF,"","","",67,1,"East Dean Village Hall","East Dean Village Hall","Village Green Lane","East Dean","","","",,67,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,"","","East Dean","","Lewes","","","","Cuckmere Valley","","","","East Dean","","Lewes","","","","Cuckmere Valley","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000068,LYB,"","","",68,1,"Wilmington Village Hall","Wilmington Village Hall","The Street","Wilmington","","","",,68,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,"","","East Dean","","Lewes","","","","Long Man","","","","East Dean","","Lewes","","","","Long Man","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000069,LYE,"","","",69,1,"Wilmington Village Hall","Wilmington Village Hall","The Street","Wilmington","","","",,68,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,"","","East Dean","","Lewes","","","","Long Man","","","","East Dean","","Lewes","","","","Long Man","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000070,LYG,"","","",70,1,"Wilmington Village Hall","Wilmington Village Hall","The Street","Wilmington","","","",,68,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,"","","East Dean","","Lewes","","","","Long Man","","","","East Dean","","Lewes","","","","Long Man","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000071,LYC,"","","",71,1,"Litlington Village Hall","Litlington Village Hall","Clapham Lane","Litlington","","","",,69,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,"","","East Dean","","Lewes","","","","Cuckmere Valley","","","","East Dean","","Lewes","","","","Cuckmere Valley","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000072,LYD,"","","",72,1,"Litlington Village Hall","Litlington Village Hall","Clapham Lane","Litlington","","","",,69,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,"","","East Dean","","Lewes","","","","Cuckmere Valley","","","","East Dean","","Lewes","","","","Cuckmere Valley","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000073,LYH,"","","",73,1,"Polegate Community Centre","Polegate Community Centre","54 Windsor Way","Polegate","","","",,70,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,"","","Polegate North","","Lewes","","","","Polegate","","","","Polegate North","","Lewes","","","","Polegate","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000074,LYH1,"","","",74,1,"Polegate Community Centre","Polegate Community Centre","54 Windsor Way","Polegate","","","",,71,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,"","","Polegate North","","Lewes","","","","","","","","","","Lewes","","","","","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000075,LYI,"","","",75,1,"St Georges Church Hall","St Georges Church Hall","Eastbourne Road","Polegate","","","",,72,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,"","","Polegate South","","Lewes","","","","Polegate","","","","Polegate South","","Lewes","","","","Polegate","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
