"Property_Number","Property_NAme","Post_Code","Polling_Place_Name","Polling_Place_Address_1","Polling_Place_Address_2","Polling_Place_Address_3","Polling_Place_Address_4","Polling_Place_Postcode"
"0","The Paddocks","EN5 3HW","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","the Paddocks","NW7 1PS","Portable Office -","Bittacy Road","London","","","NW7 1BP"
"0","The Pantiles","NW11 6XX","Fellowship House","136A Willifield Way","London","","","NW11 6YD"
"0","The Pines","EN5 3JR","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","The Pines","N20 8PX","St Andrews School","The Green","Totteridge","London","","N20 8NX"
"0","The Potteries","EN5 2DH","Grasvenor Avenue School","Grasvenor Avenue","Barnet","Herts","","EN5 2BY"
"0","The Pound House","N20 8PR","St Andrews School","The Green","Totteridge","London","","N20 8NX"
"0","The Presbytery","HA8 0HQ","Our Lady of the Annunciation","4 Thirleby Road","Gervase Road","Burnt Oak","Edgware","HA8 0HQ"
"0","The Promenade","HA8 7JZ","Edgware Parish Church Hall","Rectory Lane","Edgware","","","HA8 7LG"
"0","The Quadrant","HA8 7LU","Edgware Parish Church Hall","Rectory Lane","Edgware","","","HA8 7LG"
"0","The Rectory","EN5 5QD","Hadley Memorial Hall","29 Hadley Highstone","Barnet","Herts","","EN5 4PU"
"0","The Rectory","HA8 7LG","Edgware Parish Church Hall","Rectory Lane","Edgware","","","HA8 7LG"
"0","The Rectory Close","EN5 5QD","Hadley Memorial Hall","29 Hadley Highstone","Barnet","Herts","","EN5 4PU"
"0","The Retreat","EN5 2TH","Hope Corner Community Centre","185 Mays Lane","Barnet","Herts","","EN5 2DY"
"0","The Retreat","NW4 1TH","Bell Lane School","Bell Lane","Hendon","London","","NW4 2AS"
"0","The Ridge","EN5 2TS","Grasvenor Avenue School","Grasvenor Avenue","Barnet","Herts","","EN5 2BY"
"0","The Ridge","EN5 2TT","Grasvenor Avenue School","Grasvenor Avenue","Barnet","Herts","","EN5 2BY"
"0","The Ridge","EN5 2TU","Grasvenor Avenue School","Grasvenor Avenue","Barnet","Herts","","EN5 2BY"
"0","The Ridge","NW7 4HR","St Andrews School","The Green","Totteridge","London","","N20 8NX"
"0","The Ridings","EN4 8DR","Brookside Methodist Church","Cat Hill","Barnet","Herts","","EN4 8JB"
"0","The Sparrow","HA8 8TE","Broadfields School","Roseberry Drive","Off Broadfields Avenue","Edgware","Middx","HA8 8JP"
"0","The Spinney","N20 8LA","St Andrews School","The Green","Totteridge","London","","N20 8NX"
"0","The Spinney","NW7 4HU","The Pavilion","Brickfield Lane","Barnet","Herts","","EN5 3LD"
"0","the Stables","NW2 2HX","All Saints CE School","Childs Hill","Cricklewood Lane","London","","NW2 2TH"
"0","The Stile","EN5 3HS","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","The Sun House","EN5 4ND","Chipping Barnet Library","The Hyde Room","3 Stapylton Road","Barnet","Herts","EN5 4QT"
"0","The Synagogue","N3 3DU","Chalgrove School","Chalgrove Gardens","Finchley","London","","N3 3PL"
"0","The Three Hammers","NW7 4EA","St Pauls Church Hall","The Ridgeway","Mill Hill","London","","NW7 1QU"
"0","The Thrift","EN5 2AG","St Stephens Church Hall","1 Spring Close","Bells Hill","Barnet","Herts","EN5 2UR"
"0","The Timbers","EN4 8HU","Danegrove Primary School","Windsor Drive","East Barnet","Herts","","EN4 8UD"
"0","The Towers","N2 0BJ","Portable Office - At the Synagogue","At The Synagogue","Norrice Lea","Garden Suburb","London","N2 ORE"
"0","the Towers","NW4 1QU","St Mary & St John CE School","Bennett House","Sunningfields Road","Hendon","","NW4 4QR"
"0","The Triumph","N12 0LE","Summerside School","Crossway","North Finchley","London","","N12 0QU"
"0","The Vicarage","NW2 2TJ","All Saints CE School","Childs Hill","Cricklewood Lane","London","","NW2 2TH"
"0","The Vicarage, All Saints Church","N2 9NH","Finchley Youth Centre","142 High Road","East Finchley","London","","N2 9ED"
"0","The Vineries","NW7 2RP","Dollis Infants School","Pursley Road","Mill Hill","London","","NW7 2BU"
"0","The Watch","N12 9PA","North Finchley Library","Ravensdale Avenue","North Finchley","London","","N12 9HP"
"0","The White Bear","NW4 4AN","Hendon School","Green Lane entrance","Hendon","London","","NW4 2HP"
"0","The White House","EN5 3HB","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","The White House","N2 0BN","Portable Office - At the Synagogue","At The Synagogue","Norrice Lea","Garden Suburb","London","N2 ORE"
"0","The White House","NW7 4HU","The Pavilion","Brickfield Lane","Barnet","Herts","","EN5 3LD"
"0","The White Lodge","EN5 4ER","Chipping Barnet Library","The Hyde Room","3 Stapylton Road","Barnet","Herts","EN5 4QT"
"0","The Willows","EN4 8JG","Brookside Methodist Church","Cat Hill","Barnet","Herts","","EN4 8JB"
"0","The Willows","EN5 3JX","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","The Willows","N20 0QE","St Johns Church Hall","Friern Barnet Lane","Whetstone","London","","N20 OLP"
"0","The Willows","NW7 2RS","Dollis Infants School","Pursley Road","Mill Hill","London","","NW7 2BU"
"0","The Woodlands","N12 0DU","Our Lady of Lourdes RC Primary School","Bow Lane","Finchley","London","","N12 0JP"
"0","Thirteen & A Half","NW3 7JG","Portable Office - At the Synagogue","At The Synagogue","Norrice Lea","Garden Suburb","London","N2 ORE"
"0","Thomas Watson Cottage Homes","EN5 2TJ","Hope Corner Community Centre","185 Mays Lane","Barnet","Herts","","EN5 2DY"
"0","Thornacre Lodge","EN5 3JZ","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Thornbury","EN5 3HB","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Thornbury","NW4 4QW","St Mary & St John CE School","Bennett House","Sunningfields Road","Hendon","","NW4 4QR"
"0","Thornfield Court","NW7 1LW","Portable Office - Hendon Crem","Entrance To Hendon Crem","Holders Hill Road","Hendon","","NW4"
"0","Thorverton Court","NW2 1RD","St Agnes Centre","Corner of Gillingham Road","Cricklewood","London","","NW2 IHR"
"0","Three Steps","EN5 3HB","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Thrims","N12 8TR","St Johns Church Hall","Friern Barnet Lane","Whetstone","London","","N20 OLP"
"0","Thrims,","N12 8TR","St Johns Church Hall","Friern Barnet Lane","Whetstone","London","","N20 OLP"
"0","Thurlby Croft","NW4 1QP","St Mary & St John CE School","Bennett House","Sunningfields Road","Hendon","","NW4 4QR"
"0","Thurleigh Cottage","N2 8EA","East Finchley Library","226 High Road","Finchley","London","","N2 9BB"
"0","Thurlston","EN5 3HB","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Thyme Court","NW7 1NJ","Portable Office - Hendon Crem","Entrance To Hendon Crem","Holders Hill Road","Hendon","","NW4"
"0","Tiffany Lodge","N11 3LF","Scout and Guide Hall","Stanford Road","Friern Barnet","London","","N11 3HX"
"0","Tilers Way","EN5 3HA","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Timberdene Lodge","EN5 3JJ","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Timbers","NW7 4ET","Etz Chaim Jewish Primary School","20 Daws Lane","Mill Hill","London","","NW7 4SL"
"0","Tintagel","HA8 8TX","Broadfields School","Roseberry Drive","Off Broadfields Avenue","Edgware","Middx","HA8 8JP"
"0","Tithe Court","NW4 4TL","Sunnyfields School","Greyhound Hill","Hendon","London","","NW4 4JH"
"0","Todd House","N2 8NL","The Green Man Community Centre","Strawberry Vale","Finchley","London","","N2 9BA"
"0","Todhunter Terrace","EN5 5AH","St Marks Church Hall","Potters Road","New Barnet","Herts","","EN5 5HY"
"0","Tokyngton Court","NW9 6DA","The Hyde United Reformed","Church Hall","Colin Close","Colindale","","NW9 6RR"
"0","Toorak","EN5 3JW","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Toothacher","EN5 3JN","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Torcroft","EN5 3HB","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Torridon","EN5 3HB","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Torrington Court","N12 9TS","North Finchley Library","Ravensdale Avenue","North Finchley","London","","N12 9HP"
"0","Torrington Court","NW7 4BD","St Pauls Church Hall","The Ridgeway","Mill Hill","London","","NW7 1QU"
"0","Totteridge View","EN5 3DT","St Stephens Church Hall","1 Spring Close","Bells Hill","Barnet","Herts","EN5 2UR"
"0","Towers Court","N3 2LY","Our Lady of Lourdes RC Primary School","Bow Lane","Finchley","London","","N12 0JP"
"0","Tranby Cottage","EN4 9JH","Trent CE Primary School","Church Way","Off Chalk Lane","Cockfosters","Herts","EN4 9JH"
"0","Travers","NW9 5SR","BEST Hub","Lanacre Avenue","Colindale","London","","NW9 5FN"
"0","Tree Lodge","N20 8AS","St Andrews School","The Green","Totteridge","London","","N20 8NX"
"0","Tree Lodge","NW7 4HT","The Pavilion","Brickfield Lane","Barnet","Herts","","EN5 3LD"
"0","Treehaven","N12 8BA","Finchley Catholic High School","Woodside Lane","Finchley","London","","N12 8TA"
"0","Trees","NW7 4NS","Etz Chaim Jewish Primary School","20 Daws Lane","Mill Hill","London","","NW7 4SL"
"0","Treeside Lodge","N3 3HB","Chalgrove School","Chalgrove Gardens","Finchley","London","","N3 3PL"
"0","Tregunna","EN5 4DX","Q.E. Boys School","Queens Road","Barnet","Herts","","EN5 4DQ"
"0","Trelawn","N20 8LB","St Andrews School","The Green","Totteridge","London","","N20 8NX"
"0","Trento","EN5 3HB","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Treva Cottage","EN5 5NL","St Marks Church Hall","Potters Road","New Barnet","Herts","","EN5 5HY"
"0","Trevarrion","EN5 2NJ","Hope Corner Community Centre","185 Mays Lane","Barnet","Herts","","EN5 2DY"
"0","Trident House","NW4 3NS","Hendon School","Green Lane entrance","Hendon","London","","NW4 2HP"
"0","Trinders Lodge","EN5 3HP","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Trinity Court","N2 8JH","East Finchley Library","226 High Road","Finchley","London","","N2 9BB"
"0","Triovad","NW7 1JG","Portable Office -","Bittacy Road","London","","","NW7 1BP"
"0","Trueman Close","HA8 9YW","Watling Community Association","145 Orange Hill Road","Edgware","Middlesex","","HA8 0TR"
"0","Tudor Cottage","NW4 1TH","Bell Lane School","Bell Lane","Hendon","London","","NW4 2AS"
"0","Tudor Cottage","NW7 4NS","Etz Chaim Jewish Primary School","20 Daws Lane","Mill Hill","London","","NW7 4SL"
"0","Tudor Court","EN5 5SH","Chipping Barnet Library","The Hyde Room","3 Stapylton Road","Barnet","Herts","EN5 4QT"
"0","Tudor Gables","NW7 4BN","Etz Chaim Jewish Primary School","20 Daws Lane","Mill Hill","London","","NW7 4SL"
"0","Tudor House","EN5 3LN","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Tudor House","N10 1AU","St Peter Le Poer Church Hall","Albion Avenue","Muswell Hill","London","","N10 1AQ"
"0","Tudor House","NW2 2BG","All Saints CE School","Childs Hill","Cricklewood Lane","London","","NW2 2TH"
"0","Tudor House","NW4 1TH","Bell Lane School","Bell Lane","Hendon","London","","NW4 2AS"
"0","Tudor House","NW4 1TN","Bell Lane School","Bell Lane","Hendon","London","","NW4 2AS"
"0","Tudor Lodge","EN5 4PP","Hadley Memorial Hall","29 Hadley Highstone","Barnet","Herts","","EN5 4PU"
"0","Tudor Lodge","NW4 1TH","Bell Lane School","Bell Lane","Hendon","London","","NW4 2AS"
"0","Tudor Lodge","NW7 4HS","The Pavilion","Brickfield Lane","Barnet","Herts","","EN5 3LD"
"0","Tudor Mansions","NW4 4DT","St Mary & St John CE School","Bennett House","Sunningfields Road","Hendon","","NW4 4QR"
"0","Turnberry Grange","EN5 3DT","St Stephens Church Hall","1 Spring Close","Bells Hill","Barnet","Herts","EN5 2UR"
"0","Turpins","NW7 1NS","Portable Office -","Bittacy Road","London","","","NW7 1BP"
"0","Two Buckets","EN5 3JN","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Two Roofs","NW7 4ES","Etz Chaim Jewish Primary School","20 Daws Lane","Mill Hill","London","","NW7 4SL"
"0","Tydfil House","NW4 1QX","Bell Lane School","Bell Lane","Hendon","London","","NW4 2AS"
"0","Tyehurst","NW7 4HS","The Pavilion","Brickfield Lane","Barnet","Herts","","EN5 3LD"
"0","Ullswater","EN5 3HB","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Ultra Court","EN5 1RD","St Marks Church Hall","Potters Road","New Barnet","Herts","","EN5 5HY"
"0","Underhill Court","EN5 2BD","Grasvenor Avenue School","Grasvenor Avenue","Barnet","Herts","","EN5 2BY"
"0","Upalong","EN5 3HY","The Pavilion","Brickfield Lane","Barnet","Herts","","EN5 3LD"
"0","Upland","EN5 3JW","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Upper Clevedon","N12 8RG","St Johns Church Hall","Friern Barnet Lane","Whetstone","London","","N20 OLP"
"0","Upper Fosters","NW4 2DL","Hendon School","Green Lane entrance","Hendon","London","","NW4 2HP"
"0","Upper Fosters","NW4 2DN","Hendon School","Green Lane entrance","Hendon","London","","NW4 2HP"
"0","Upper Vedon","N12 8SL","Finchley Catholic High School","Woodside Lane","Finchley","London","","N12 8TA"
"0","Upper Weldon","N12 8RG","St Johns Church Hall","Friern Barnet Lane","Whetstone","London","","N20 OLP"
"0","Upr Flr","NW11 7RX","Harris Room - Trinity Church","Rodborough Road","Childs Hill","London","","NW11 8NH"
"0","Upr Flr Seaford Cottage","NW4 1QD","St Mary & St John CE School","Bennett House","Sunningfields Road","Hendon","","NW4 4QR"
"0","Upr Flt Cleveland","NW7 1QX","St Pauls Church Hall","The Ridgeway","Mill Hill","London","","NW7 1QU"
"0","Upr Flt, Clitterhouse Farm","NW2 1AP","Claremont Primary School","Claremont Road","Cricklewood","London","","NW2 1AB"
"0","Upr Lodge","EN5 4HA","Chipping Barnet Library","The Hyde Room","3 Stapylton Road","Barnet","Herts","EN5 4QT"
"0","Usher Hall (A)","NW4 4HD","St Mary & St John CE School","Bennett House","Sunningfields Road","Hendon","","NW4 4QR"
"0","Usher Hall (B)","NW4 4HE","St Mary & St John CE School","Bennett House","Sunningfields Road","Hendon","","NW4 4QR"
"0","Usher Hall (B)","NW4 4HF","St Mary & St John CE School","Bennett House","Sunningfields Road","Hendon","","NW4 4QR"
"0","Vale Farm","EN5 2AQ","St Stephens Church Hall","1 Spring Close","Bells Hill","Barnet","Herts","EN5 2UR"
"0","Valentine","NW9 5SP","BEST Hub","Lanacre Avenue","Colindale","London","","NW9 5FN"
"0","Valeside Court","EN5 5ER","St Marks Church Hall","Potters Road","New Barnet","Herts","","EN5 5HY"
"0","Valkyrie","NW9 5SN","BEST Hub","Lanacre Avenue","Colindale","London","","NW9 5FN"
"0","Valley View","EN5 5NX","St Marks Church Hall","Potters Road","New Barnet","Herts","","EN5 5HY"
"0","Vane House","N2 8EN","The Green Man Community Centre","Strawberry Vale","Finchley","London","","N2 9BA"
"0","Vane House","N2 8EP","The Green Man Community Centre","Strawberry Vale","Finchley","London","","N2 9BA"
"0","Vanguard","NW9 5SL","BEST Hub","Lanacre Avenue","Colindale","London","","NW9 5FN"
"0","Varley Lodge","NW9 6PT","The Hyde United Reformed","Church Hall","Colin Close","Colindale","","NW9 6RR"
"0","Varley Parade","NW9 6RR","The Hyde United Reformed","Church Hall","Colin Close","Colindale","","NW9 6RR"
"0","Vellore","NW9 5SJ","BEST Hub","Lanacre Avenue","Colindale","London","","NW9 5FN"
"0","Vernier","NW9 5SH","BEST Hub","Lanacre Avenue","Colindale","London","","NW9 5FN"
"0","Vernon Court","NW2 2PD","St Agnes Centre","Corner of Gillingham Road","Cricklewood","London","","NW2 IHR"
"0","Vernon Court","NW2 2PE","St Agnes Centre","Corner of Gillingham Road","Cricklewood","London","","NW2 IHR"
"0","Vernon House","NW9 6RJ","The Hyde United Reformed","Church Hall","Colin Close","Colindale","","NW9 6RR"
"0","Verona","NW7 4HS","The Pavilion","Brickfield Lane","Barnet","Herts","","EN5 3LD"
"0","Verulam Court","NW9 7AW","West Hendon Community Centre","Marsh Drive","West Hendon","London","","NW9 7QE"
"0","Verulam Court","NW9 7AZ","West Hendon Community Centre","Marsh Drive","West Hendon","London","","NW9 7QE"
"0","Vickers","NW9 5SG","BEST Hub","Lanacre Avenue","Colindale","London","","NW9 5FN"
"0","Victor House","N20 0SH","Manor Drive Methodist Church Hall","Manor Drive","Whetstone","London","","N20 0DZ"
"0","Victoria Court","HA8 9XE","Edgware Parish Church Hall","Rectory Lane","Edgware","","","HA8 7LG"
"0","Victoria Grove","N12 9DH","North Finchley Library","Ravensdale Avenue","North Finchley","London","","N12 9HP"
"0","View Lodge","N20 9EF","St Mary Magdalens Parish Centre","6 Athenaeum Road","Whetstone","London","","N20 9AE"
"0","Viewpoint","N20 9PL","St Johns Church Hall","Friern Barnet Lane","Whetstone","London","","N20 OLP"
"0","Viking Court","EN4 8AB","New Barnet Community Centre","48/50 Victoria Road","New Barnet","Herts","","EN4 9PF"
"0","Villa Costa","EN5 1RX","Barnet Lawn Tennis Club","Gloucester Road","New Barnet","Herts","","EN5 1RS"
"0","Villa Verdi","N12 8SP","Finchley Catholic High School","Woodside Lane","Finchley","London","","N12 8TA"
"0","Villiers Court","N20 9BT","St Mary Magdalens Parish Centre","6 Athenaeum Road","Whetstone","London","","N20 9AE"
"0","Vincent Court","NW4 2AN","Bell Lane School","Bell Lane","Hendon","London","","NW4 2AS"
"0","Vincent Court","NW4 2AW","Bell Lane School","Bell Lane","Hendon","London","","NW4 2AS"
"0","Vivian Court","N12 8HJ","Carey Room","Trinity Church Centre","15 Nether Street","Finchley","","N12 7NN"
"0","Vivian Lodge","NW4 3EH","Barnet Multicultural Community Centre","Algernon Road","Hendon","London","","NW4 3TA"
"0","Vivian Mansions","NW4 3XJ","Barnet Multicultural Community Centre","Algernon Road","Hendon","London","","NW4 3TA"
"0","Wade Cottage","NW2 2DE","St Agnes Centre","Corner of Gillingham Road","Cricklewood","London","","NW2 IHR"
"0","Wade Court","N10 2EP","Freehold Community Centre","9 Alexandra Road","Muswell Hill","London","","N10 2EY"
"0","Waenavon","N20 8AP","St Andrews School","The Green","Totteridge","London","","N20 8NX"
"0","Wakeman House","HA8 8AN","New Stonegrove Community Centre","5 Hayling Way/Green Lane","Edgware","","","HA8 8BN"
"0","Walbrook House","N2 0BS","Portable Office - At the Synagogue","At The Synagogue","Norrice Lea","Garden Suburb","London","N2 ORE"
"0","Walden Way","NW7 1SG","Portable Office -","Bittacy Road","London","","","NW7 1BP"
"0","Walden Way","NW7 1SH","Portable Office -","Bittacy Road","London","","","NW7 1BP"
"0","Wallace","NW9 5SE","BEST Hub","Lanacre Avenue","Colindale","London","","NW9 5FN"
"0","Walnut Lodge","N20 8AS","St Andrews School","The Green","Totteridge","London","","N20 8NX"
"0","Walsham Lodge","NW7 2SH","Dollis Infants School","Pursley Road","Mill Hill","London","","NW7 2BU"
"0","Waltham Court","N20 0NE","St Johns Church Hall","Friern Barnet Lane","Whetstone","London","","N20 OLP"
"0","Walton Court","EN5 1JW","Lyonsdown Main Hall","3 Lyonsdown Road","New Barnet","Herts","","EN5 1JB"
"0","Warneford","NW9 5SA","BEST Hub","Lanacre Avenue","Colindale","London","","NW9 5FN"
"0","Warwick Court","N2 0LG","Bishop Douglass RC High School","Hamilton Road","East Finchley","London","","N2 0SQ"
"0","Warwick Court","NW7 4BL","Etz Chaim Jewish Primary School","20 Daws Lane","Mill Hill","London","","NW7 4SL"
"0","Watch Tower House","NW7 1RN","Dollis Infants School","Pursley Road","Mill Hill","London","","NW7 2BU"
"0","Waterlow Court","NW11 7DT","St Edward the Confessor","Church Hall","Hoop Lane","London","","NW11 7NH"
"0","Waverley","N20 0XY","Manor Drive Methodist Church Hall","Manor Drive","Whetstone","London","","N20 0DZ"
"0","Waverley","N20 8PJ","St Andrews School","The Green","Totteridge","London","","N20 8NX"
"0","Waverley Court","N12 9TR","North Finchley Library","Ravensdale Avenue","North Finchley","London","","N12 9HP"
"0","Wayside","EN5 3JD","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Wayside","NW2 2NY","St Agnes Centre","Corner of Gillingham Road","Cricklewood","London","","NW2 IHR"
"0","Wayside Cottage","N20 8PX","St Andrews School","The Green","Totteridge","London","","N20 8NX"
"0","Weardale Court","EN5 3AU","St Stephens Church Hall","1 Spring Close","Bells Hill","Barnet","Herts","EN5 2UR"
"0","Wellesley","NW9 5SD","BEST Hub","Lanacre Avenue","Colindale","London","","NW9 5FN"
"0","Wellfield","NW7 4BY","St Pauls Church Hall","The Ridgeway","Mill Hill","London","","NW7 1QU"
"0","Wellington","NW9 5SB","BEST Hub","Lanacre Avenue","Colindale","London","","NW9 5FN"
"0","Wellington Place","N2 0PN","Portable Office - The Green","Widecombe Way / Vivian Way","Finchley","London","","N2"
"0","Wendover Court","NW2 2PG","All Saints CE School","Childs Hill","Cricklewood Lane","London","","NW2 2TH"
"0","Wendover Court","NW2 2PH","All Saints CE School","Childs Hill","Cricklewood Lane","London","","NW2 2TH"
"0","Wendy House","N12 9TJ","North Finchley Library","Ravensdale Avenue","North Finchley","London","","N12 9HP"
"0","Wentworth Cottage","NW7 1RL","Dollis Infants School","Pursley Road","Mill Hill","London","","NW7 2BU"
"0","Wentworth Court","EN5 4PA","Chipping Barnet Library","The Hyde Room","3 Stapylton Road","Barnet","Herts","EN5 4QT"
"0","Wentworth Court","N3 1YD","Essex Hall","5 Essex Park","Finchley","London","","N3 1ND"
"0","Wentworth Hall","NW7 1RJ","Dollis Infants School","Pursley Road","Mill Hill","London","","NW7 2BU"
"0","Wentworth Lodge","N3 1YJ","Essex Hall","5 Essex Park","Finchley","London","","N3 1ND"
"0","Wesdens","NW7 4HS","The Pavilion","Brickfield Lane","Barnet","Herts","","EN5 3LD"
"0","Wessex Court","NW11 9RP","Menorah Primary School","1-3 The Drive","Golders Green","London","","NW11 9SP"
"0","West Court","N3 3RL","St Philip the Apostle","Parish Centre","Gravel Hill","Finchley","","N3 3RJ"
"0","West Grove","NW7 4DY","St Pauls Church Hall","The Ridgeway","Mill Hill","London","","NW7 1QU"
"0","West Heath Court","NW11 7RE","Harris Room - Trinity Church","Rodborough Road","Childs Hill","London","","NW11 8NH"
"0","West Heath Court","NW11 7RG","Harris Room - Trinity Church","Rodborough Road","Childs Hill","London","","NW11 8NH"
"0","West Ridge","N20 8QX","Totteridge Tennis Club","Great Bushey Drive","Totteridge","London","","N20 8QL"
"0","Westbury Court","EN5 1LE","Lyonsdown Main Hall","3 Lyonsdown Road","New Barnet","Herts","","EN5 1JB"
"0","Westchester Court","NW4 1RB","Bell Lane School","Bell Lane","Hendon","London","","NW4 2AS"
"0","Westcoates","EN5 5NF","St Marks Church Hall","Potters Road","New Barnet","Herts","","EN5 5HY"
"0","Western Court","N3 1NX","Essex Hall","5 Essex Park","Finchley","London","","N3 1ND"
"0","Western Mansions","EN5 1AE","Barnet Lawn Tennis Club","Gloucester Road","New Barnet","Herts","","EN5 1RS"
"0","Westgate House","N20 8EA","St Andrews School","The Green","Totteridge","London","","N20 8NX"
"0","Westhorpe Cottage","NW4 1TH","Bell Lane School","Bell Lane","Hendon","London","","NW4 2AS"
"0","Weston Court","N20 9PQ","St Mary Magdalens Parish Centre","6 Athenaeum Road","Whetstone","London","","N20 9AE"
"0","Westpole Court","EN4 9DA","Trent CE Primary School","Church Way","Off Chalk Lane","Cockfosters","Herts","EN4 9JH"
"0","Westport House","N3 2QD","St Paul`s Centre","50 Long Lane","Finchley","London","","N3 2PU"
"0","Westside","EN5 2LE","Hope Corner Community Centre","185 Mays Lane","Barnet","Herts","","EN5 2DY"
"0","Westwards House","N20 0JT","Manor Drive Methodist Church Hall","Manor Drive","Whetstone","London","","N20 0DZ"
"0","Westwood Lodge","N12 9NP","15th Finchley Scout Group","104 Grove Road","North Finchley","London","","N12 9EA"
"0","Westwyn","NW4 1TH","Bell Lane School","Bell Lane","Hendon","London","","NW4 2AS"
"0","Wetherill Court","N10 1EX","St Peter Le Poer Church Hall","Albion Avenue","Muswell Hill","London","","N10 1AQ"
"0","Whale Bones","EN5 4BZ","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","Wheeler","NW9 5RY","BEST Hub","Lanacre Avenue","Colindale","London","","NW9 5FN"
"0","Whispers House","N20 0UH","Manor Drive Methodist Church Hall","Manor Drive","Whetstone","London","","N20 0DZ"
"0","White Cottage","NW7 1AG","St Pauls Church Hall","The Ridgeway","Mill Hill","London","","NW7 1QU"
"0","White Gates","EN5 3HW","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","White House","NW3 7JG","Portable Office - At the Synagogue","At The Synagogue","Norrice Lea","Garden Suburb","London","N2 ORE"
"0","White House","NW4 1TD","Bell Lane School","Bell Lane","Hendon","London","","NW4 2AS"
"0","White Ladyes","N20 8PB","St Andrews School","The Green","Totteridge","London","","N20 8NX"
"0","White Lodge","EN5 3LN","Arkley Club","64 Barnet Road","Arkley","Hertfordshire","","EN5 3EY"
"0","White Lodge","EN5 5PY","Hadley Memorial Hall","29 Hadley Highstone","Barnet","Herts","","EN5 4PU"
"0","White Lodge","HA8 9UP","Edgware Parish Church Hall","Rectory Lane","Edgware","","","HA8 7LG"
"0","White Lodge","N12 8BA","Finchley Catholic High School","Woodside Lane","Finchley","London","","N12 8TA"
"0","White Lodge","NW11 8ST","Harris Room - Trinity Church","Rodborough Road","Childs Hill","London","","NW11 8NH"
"0","White Lodge","NW7 4DY","St Pauls Church Hall","The Ridgeway","Mill Hill","London","","NW7 1QU"
"0","White Lodge Cottage","NW7 4DY","St Pauls Church Hall","The Ridgeway","Mill Hill","London","","NW7 1QU"
"0","White Oak","NW7 4ET","Etz Chaim Jewish Primary School","20 Daws Lane","Mill Hill","London","","NW7 4SL"
"0","White Oaks","N12 7PH","Carey Room","Trinity Church Centre","15 Nether Street","Finchley","","N12 7NN"
"0","Whitecrofts","N12 8TR","St Johns Church Hall","Friern Barnet Lane","Whetstone","London","","N20 OLP"
"0","Whitefield School House","NW2 1TR","Claremont Primary School","Claremont Road","Cricklewood","London","","NW2 1AB"
"0","Whitefriars","N20 8PJ","St Andrews School","The Green","Totteridge","London","","N20 8NX"
"0","Whitehall House","NW7 4AQ","St Pauls Church Hall","The Ridgeway","Mill Hill","London","","NW7 1QU"
"0","Whitehead Court","N10 1AQ","St Peter Le Poer Church Hall","Albion Avenue","Muswell Hill","London","","N10 1AQ"
"0","Whitewalls","N20 8PE","St Andrews School","The Green","Totteridge","London","","N20 8NX"
"0","Whiteways","NW4 2JG","Bell Lane School","Bell Lane","Hendon","London","","NW4 2AS"
"0","Whitmore House","N11 3AU","Scout and Guide Hall","Stanford Road","Friern Barnet","London","","N11 3HX"
"0","Whittaker","NW9 5RX","BEST Hub","Lanacre Avenue","Colindale","London","","NW9 5FN"
"0","Whittle","NW9 5RU","BEST Hub","Lanacre Avenue","Colindale","London","","NW9 5FN"
"0","Whychcote Point","NW2 1TS","Claremont Primary School","Claremont Road","Cricklewood","London","","NW2 1AB"
